ECG,63533,-30165,
PPG,63538,104875,108305
ECG,63540,-35005,
PPG,63548,104876,108334
ECG,63549,-41343,
ECG,63556,-53719,
PPG,63559,104894,108344
ECG,63564,-62347,
PPG,63567,104886,108350
GSR,63568,479,
ECG,63572,-61165,
PPG,63578,104903,108362
ECG,63581,-53392,
PPG,63589,104892,108379
ECG,63589,-49356,
ECG,63596,-43840,
PPG,63600,104915,108391
ECG,63604,-45289,
PPG,63608,104912,108416
ECG,63612,-42403,
PPG,63618,104929,108411
ECG,63620,-44562,
PPG,63628,104901,108435
ECG,63629,-41779,
GSR,63634,479,
ECG,63637,-43916,
PPG,63640,104927,108460
ECG,63644,-41119,
PPG,63648,104936,108469
ECG,63652,-42418,
PPG,63659,104956,108484
ECG,63661,-40392,
PPG,63669,104941,108507
ECG,63669,-41913,
ECG,63676,-40246,
PPG,63680,104949,108527
ECG,63684,-40567,
PPG,63688,104954,108531
ECG,63691,-39799,
GSR,63694,479,
PPG,63698,104981,108542
ECG,63700,-39717,
PPG,63709,104990,108587
ECG,63710,-38460,
ECG,63716,-37905,
PPG,63719,104984,108608
ECG,63724,-37787,
PPG,63728,104994,108616
ECG,63732,-35655,
PPG,63738,104993,108623
ECG,63740,-35952,
GSR,63747,479,
PPG,63749,104981,108593
ECG,63750,-33264,
ECG,63756,-33681,
PPG,63760,104955,108541
ECG,63764,-30769,
PPG,63768,104912,108430
ECG,63772,-31853,
PPG,63778,104855,108280
ECG,63779,-28061,
PPG,63789,104812,108149
ECG,63790,-30191,
ECG,63796,-27927,
PPG,63799,104743,108020
ECG,63804,-30477,
GSR,63807,479,
PPG,63809,104699,107900
ECG,63812,-29421,
PPG,63819,104652,107810
ECG,63820,-34077,
PPG,63828,104629,107727
ECG,63830,-34391,
ECG,63837,-38858,
PPG,63840,104604,107666
ECG,63844,-38431,
PPG,63849,104602,107623
ECG,63851,-42364,
PPG,63858,104571,107594
ECG,63859,-42171,
GSR,63864,479,
PPG,63868,104559,107612
ECG,63869,-44024,
ECG,63876,-42648,
PPG,63879,104569,107616
ECG,63884,-43919,
PPG,63889,104597,107637
ECG,63892,-43879,
PPG,63899,104587,107657
ECG,63900,-44331,
PPG,63909,104601,107681
ECG,63910,-44045,
ECG,63916,-43689,
PPG,63919,104616,107701
GSR,63920,480,
ECG,63924,-43959,
PPG,63929,104634,107725
ECG,63932,-43573,
PPG,63939,104622,107752
ECG,63940,-44779,
PPG,63948,104651,107777
ECG,63949,-42859,
ECG,63955,-44763,
PPG,63960,104635,107808
ECG,63964,-42701,
PPG,63969,104667,107811
ECG,63972,-44914,
GSR,63977,480,
PPG,63980,104652,107827
ECG,63981,-42470,
PPG,63989,104659,107852
ECG,63990,-44307,
ECG,63996,-42159,
PPG,64000,104673,107851
ECG,64004,-44998,
PPG,64010,104682,107872
ECG,64012,-42534,
PPG,64020,104697,107927
ECG,64020,-44732,
ECG,64027,-42317,
PPG,64031,104697,107946
ECG,64035,-45667,
PPG,64039,104715,107960
GSR,64040,480,
ECG,64044,-43173,
PPG,64049,104730,107969
ECG,64052,-44236,
PPG,64059,104725,107986
ECG,64060,-43173,
PPG,64069,104735,107986
ECG,64070,-44866,
ECG,64075,-43912,
PPG,64079,104724,107995
ECG,64083,-44600,
PPG,64090,104723,107986
GSR,64092,480,
ECG,64092,-44284,
PPG,64099,104725,107979
ECG,64100,-43917,
ECG,64107,-44556,
PPG,64111,104699,107954
ECG,64115,-44174,
PPG,64119,104697,107943
ECG,64123,-44732,
PPG,64129,104690,107918
ECG,64132,-42812,
PPG,64139,104699,107908
ECG,64140,-44813,
ECG,64147,-42944,
PPG,64150,104688,107901
ECG,64155,-45329,
GSR,64158,480,
PPG,64160,104695,107904
ECG,64163,-43330,
PPG,64169,104676,107897
ECG,64172,-45725,
PPG,64180,104671,107917
ECG,64180,-43316,
ECG,64187,-45766,
PPG,64191,104675,107918
ECG,64195,-43023,
PPG,64200,104694,107940
ECG,64203,-45378,
PPG,64209,104688,107932
ECG,64210,-42737,
GSR,64215,480,
PPG,64220,104710,107970
ECG,64221,-45095,
ECG,64228,-42663,
PPG,64231,104705,107977
ECG,64235,-44671,
PPG,64239,104713,108017
ECG,64243,-42701,
PPG,64249,104737,108025
ECG,64251,-44491,
PPG,64260,104756,108041
ECG,64261,-43389,
GSR,64268,480,
ECG,64268,-44715,
PPG,64272,104753,108076
ECG,64275,-43535,
PPG,64280,104757,108107
ECG,64283,-42904,
PPG,64289,104777,108126
ECG,64290,-42657,
PPG,64300,104763,108131
ECG,64301,-43569,
ECG,64307,-44832,
PPG,64311,104779,108176
ECG,64315,-43407,
PPG,64319,104803,108196
GSR,64323,480,
ECG,64324,-45027,
PPG,64330,104801,108227
ECG,64331,-43810,
PPG,64340,104829,108237
ECG,64342,-45643,
ECG,64348,-44121,
PPG,64351,104832,108260
ECG,64356,-46150,
PPG,64360,104832,108287
ECG,64363,-43783,
PPG,64370,104845,108329
ECG,64371,-45931,
GSR,64378,480,
ECG,64378,-42375,
PPG,64382,104829,108324
ECG,64387,-43713,
PPG,64391,104841,108360
ECG,64395,-35707,
PPG,64400,104871,108353
ECG,64403,-31923,
PPG,64410,104878,108383
ECG,64411,-33255,
PPG,64420,104878,108395
ECG,64421,-43667,
ECG,64427,-50809,
PPG,64430,104865,108394
ECG,64435,-62436,
GSR,64438,481,
PPG,64440,104878,108409
ECG,64443,-57538,
PPG,64450,104876,108434
ECG,64451,-54096,
PPG,64459,104903,108443
ECG,64460,-48541,
ECG,64467,-45411,
PPG,64471,104908,108454
ECG,64475,-43126,
PPG,64481,104919,108479
ECG,64483,-42888,
PPG,64490,104912,108490
ECG,64491,-42303,
GSR,64494,481,
PPG,64500,104917,108513
ECG,64501,-41927,
ECG,64506,-42002,
PPG,64510,104913,108507
ECG,64515,-40676,
PPG,64521,104930,108523
ECG,64523,-42274,
PPG,64531,104939,108544
ECG,64532,-40971,
ECG,64539,-42156,
PPG,64542,104937,108560
ECG,64547,-38992,
PPG,64550,104941,108577
GSR,64551,481,
ECG,64555,-40619,
PPG,64560,104967,108566
ECG,64563,-38152,
PPG,64570,104939,108592
ECG,64571,-40008,
ECG,64578,-36719,
PPG,64581,104954,108599
ECG,64586,-39196,
PPG,64590,104977,108625
ECG,64594,-36279,
PPG,64601,104973,108621
ECG,64603,-37324,
GSR,64608,481,
PPG,64611,104967,108653
ECG,64612,-34134,
ECG,64619,-35211,
PPG,64622,104973,108657
ECG,64627,-31832,
PPG,64631,104957,108622
ECG,64635,-32496,
PPG,64642,104944,108544
ECG,64643,-29579,
PPG,64650,104904,108476
ECG,64652,-29815,
ECG,64658,-28396,
PPG,64662,104846,108341
GSR,64663,481,
ECG,64666,-29234,
PPG,64670,104822,108219
ECG,64674,-29462,
PPG,64680,104763,108086
ECG,64683,-30885,
PPG,64691,104713,107992
ECG,64692,-33036,
ECG,64699,-35101,
PPG,64702,104684,107913
ECG,64706,-38780,
PPG,64711,104650,107832
GSR,64714,481,
ECG,64714,-39249,
PPG,64721,104630,107799
ECG,64722,-41454,
PPG,64731,104623,107772
ECG,64732,-40997,
ECG,64738,-44073,
PPG,64742,104611,107741
ECG,64746,-41597,
PPG,64751,104613,107757
ECG,64754,-44081,
PPG,64760,104611,107786
ECG,64762,-42578,
PPG,64771,104615,107788
GSR,64772,481,
ECG,64773,-45404,
ECG,64779,-42147,
PPG,64782,104641,107820
ECG,64787,-43899,
PPG,64791,104648,107841
ECG,64794,-41537,
PPG,64801,104647,107868
ECG,64802,-44717,
PPG,64812,104667,107919
ECG,64813,-42088,
ECG,64819,-44731,
PPG,64822,104683,107950
ECG,64827,-42236,
GSR,64829,482,
PPG,64831,104685,107972
ECG,64834,-43647,
PPG,64841,104707,108024
ECG,64842,-42316,
PPG,64851,104722,108045
ECG,64852,-43984,
ECG,64858,-42808,
PPG,64862,104725,108064
ECG,64866,-43083,
PPG,64871,104736,108104
ECG,64874,-42874,
PPG,64881,104747,108124
ECG,64882,-42776,
GSR,64885,482,
PPG,64891,104752,108177
ECG,64892,-42900,
ECG,64899,-42177,
PPG,64902,104763,108190
ECG,64907,-43591,
PPG,64912,104795,108221
ECG,64915,-42967,
PPG,64921,104796,108233
ECG,64922,-45049,
ECG,64929,-42427,
PPG,64933,104795,108251
ECG,64937,-44472,
PPG,64942,104802,108242
ECG,64946,-42192,
GSR,64949,482,
PPG,64952,104790,108226
ECG,64954,-44796,
PPG,64962,104788,108208
ECG,64963,-42009,
ECG,64970,-45580,
PPG,64973,104772,108196
ECG,64978,-42124,
PPG,64982,104763,108150
ECG,64987,-44321,
PPG,64992,104768,108121
ECG,64995,-41581,
PPG,65002,104727,108114
ECG,65002,-45440,
GSR,65005,482,
PPG,65011,104715,108110
ECG,65012,-42488,
ECG,65017,-44676,
PPG,65021,104716,108090
ECG,65026,-42407,
PPG,65032,104749,108086
ECG,65034,-44804,
PPG,65042,104718,108074
ECG,65043,-42628,
ECG,65050,-44371,
PPG,65053,104724,108087
ECG,65058,-42949,
PPG,65061,104728,108083
GSR,65062,482,
ECG,65065,-43205,
PPG,65072,104746,108089
ECG,65075,-43338,
PPG,65081,104735,108111
ECG,65082,-42954,
ECG,65089,-42505,
PPG,65093,104747,108131
ECG,65097,-42342,
PPG,65102,104779,108158
ECG,65105,-43991,
PPG,65112,104750,108163
ECG,65114,-41869,
PPG,65122,104764,108199
GSR,65123,483,
ECG,65124,-43214,
ECG,65130,-41262,
